dataset,model_key,model,train_rows,test_rows,accuracy,macro_f1,roc_auc,is_project_model
ckd,decision_tree,DecisionTreeClassifier,120000,91118,0.753035,0.495961,0.585231,False
ckd,project_final_model,DecisionTreeClassifier,120000,91118,0.753035,0.495961,0.585231,True
ckd,random_forest,RandomForestClassifier,120000,91118,0.728341,0.487703,0.630632,False
ckd,knn_k5,KNeighborsClassifier,120000,91118,0.68644,0.473578,0.629385,False
ckd,logistic_regression,LogisticRegression,120000,91118,0.587282,0.441963,0.713646,False
ckd,gaussian_nb,GaussianNB,120000,91118,0.478775,0.384597,0.705172,False

diabetes,random_forest,RandomForestClassifier,120000,100000,0.83151,0.605909,0.852946,False
diabetes,decision_tree,DecisionTreeClassifier,120000,100000,0.83636,0.6036,0.747341,False
diabetes,logistic_regression,LogisticRegression,120000,100000,0.79505,0.596841,0.901281,False
diabetes,knn_k5,KNeighborsClassifier,120000,100000,0.79976,0.591255,0.8517,False
diabetes,gaussian_nb,GaussianNB,120000,100000,0.68432,0.522536,0.898276,False
diabetes,project_final_model,GaussianNB,120000,100000,0.68432,0.522536,0.898276,True



hypertension,random_forest,RandomForestClassifier,120000,100000,0.9307,0.600075,0.876631,False
hypertension,decision_tree,DecisionTreeClassifier,120000,100000,0.92599,0.580417,0.718202,False
hypertension,knn_k5,KNeighborsClassifier,120000,100000,0.86978,0.552409,0.85668,False
hypertension,logistic_regression,LogisticRegression,120000,100000,0.84344,0.540416,0.926424,False
hypertension,project_final_model,LogisticRegression,120000,100000,0.84344,0.540416,0.926424,True
hypertension,gaussian_nb,GaussianNB,120000,100000,0.76803,0.494776,0.918117,False
